"Name";"Color";"Rarity";"# Seen";"ALSA";"# Picked";"ATA";"# GP";"% GP";"GP WR"
"Cast into the Fire";"R";"C";"367131";"7.51";"48925";"10.79";"58649";"19.4%";"54.3%"
"Display of Power";"R";"R";"43231";"5.63";"5965";"8.57";"4311";"11.9%";"50.6%"
"Éomer, Marshal of Rohan";"R";"R";"13819";"2.02";"6167";"2.10";"32883";"86.6%";"56.4%"
"Éomer of the Riddermark";"R";"U";"50435";"2.50";"25439";"2.63";"149600";"92.1%";"58.9%"
"Erebor Flamesmith";"R";"C";"308433";"5.51";"56269";"7.62";"238823";"69.2%";"55.4%"
"Erkenbrand, Lord of Westfold";"R";"U";"79626";"3.76";"18595";"4.71";"84777";"74.4%";"55.8%"
"Fall of Cair Andros";"R";"R";"25068";"3.51";"5116";"4.41";"16388";"53.7%";"52.8%"
"Fear, Fire, Foes!";"R";"U";"43938";"2.21";"26875";"2.31";"160042";"93.6%";"58.8%"
"Fiery Inscription";"R";"U";"76265";"3.87";"22805";"4.34";"110299";"78.5%";"56.1%"
"Fire of Orthanc";"R";"C";"379104";"8.65";"44065";"12.38";"9332";"3.5%";"51.9%"
"Foray of Orcs";"R";"U";"54376";"2.62";"25495";"2.90";"144608";"90.2%";"57.9%"
"Gimli, Counter of Kills";"R";"U";"95607";"4.48";"13561";"6.46";"48304";"58.6%";"54.4%"
"Gimli's Axe";"R";"C";"376224";"8.30";"44009";"11.99";"21026";"7.8%";"53.6%"
"Gimli's Fury";"R";"C";"371592";"7.80";"47015";"11.27";"46877";"16.1%";"54.8%"
"Glóin, Dwarf Emissary";"R";"R";"22392";"3.01";"5845";"3.60";"27241";"76.3%";"55.3%"
"Goblin Fireleaper";"R";"U";"90203";"4.03";"19735";"5.42";"99075";"81.7%";"56.2%"
"Grishnákh, Brash Instigator";"R";"U";"56789";"2.71";"24336";"3.02";"137618";"89.6%";"58.6%"
"Haradrim Spearmaster";"R";"C";"321802";"5.67";"50518";"8.14";"200110";"63.7%";"56.5%"
"Hew the Entwood";"R";"M";"20317";"5.29";"2813";"8.16";"159";"0.9%";""
"Improvised Club";"R";"C";"275094";"4.66";"63104";"6.20";"325816";"82.9%";"57.1%"
"Moria Marauder";"R";"R";"17841";"2.55";"6987";"2.75";"36137";"83.6%";"56.4%"
"Oliphaunt";"R";"C";"299394";"5.01";"54745";"7.12";"262421";"77.8%";"56.0%"
"Olog-hai Crusher";"R";"C";"359941";"7.11";"46128";"10.42";"68645";"24.1%";"54.8%"
"Quarrel's End";"R";"C";"315076";"5.61";"68311";"7.41";"312471";"73.3%";"57.3%"
"Rally at the Hornburg";"R";"C";"231232";"4.03";"79989";"4.74";"454837";"89.4%";"58.8%"
"Ranger's Firebrand";"R";"U";"53535";"2.56";"24228";"2.86";"140702";"91.9%";"58.2%"
"Relentless Rohirrim";"R";"C";"299949";"5.17";"64516";"6.89";"308339";"76.3%";"57.5%"
"Rising of the Day";"R";"U";"131101";"7.24";"13590";"11.20";"3598";"4.3%";"48.7%"
"Rohirrim Lancer";"R";"C";"287914";"4.99";"61848";"6.63";"309009";"80.4%";"56.7%"
"Rush the Room";"R";"C";"378993";"8.47";"44498";"12.13";"15445";"5.7%";"53.1%"
"Smite the Deathless";"R";"C";"155964";"2.74";"64305";"3.19";"370962";"92.6%";"57.3%"
"Spiteful Banditry";"R";"M";"5687";"1.73";"3711";"1.69";"19410";"85.4%";"56.3%"
"Swarming of Moria";"R";"C";"302945";"5.18";"53654";"7.30";"231848";"70.5%";"55.2%"
"There and Back Again";"R";"R";"12565";"1.83";"7295";"1.82";"39838";"88.9%";"56.5%"
"Warbeast of Gorgoroth";"R";"C";"331693";"5.93";"51888";"8.52";"176624";"54.7%";"56.8%"
"Bag End Porter";"G";"C";"352215";"7.06";"39650";"10.30";"86955";"36.5%";"53.5%"
"Bombadil's Song";"G";"C";"361143";"7.60";"37559";"11.16";"62333";"27.9%";"50.9%"
"Brandywine Farmer";"G";"C";"369404";"8.30";"35175";"12.24";"24290";"11.6%";"48.9%"
"Celeborn the Wise";"G";"U";"95163";"4.78";"10497";"7.02";"30193";"49.3%";"50.5%"
"Chance-Met Elves";"G";"C";"330469";"6.85";"30355";"10.32";"59112";"33.4%";"49.6%"
"Delighted Halfling";"G";"R";"17034";"2.36";"5447";"2.55";"25694";"78.3%";"55.1%"
"Dúnedain Rangers";"G";"U";"96070";"4.66";"13869";"6.51";"51912";"63.0%";"53.2%"
"Elven Chorus";"G";"R";"20281";"2.94";"4373";"3.50";"17206";"67.4%";"51.2%"
"Elven Farsight";"G";"C";"355071";"7.63";"33142";"11.47";"39496";"20.2%";"50.1%"
"Enraged Huorn";"G";"C";"336320";"6.43";"43654";"9.17";"145094";"55.0%";"54.1%"
"Entish Restoration";"G";"U";"116140";"5.89";"12704";"8.85";"21083";"28.3%";"48.5%"
"Ent's Fury";"G";"C";"304415";"5.58";"41630";"7.84";"165829";"66.4%";"53.7%"
"Fall of Gil-galad";"G";"R";"18806";"2.70";"4809";"3.12";"22416";"78.2%";"53.2%"
"Fangorn, Tree Shepherd";"G";"R";"31555";"4.37";"3993";"6.56";"6397";"27.1%";"49.3%"
"Galadhrim Bow";"G";"C";"372321";"8.39";"36778";"12.29";"21690";"9.8%";"52.0%"
"Galadhrim Guide";"G";"C";"356241";"7.62";"32379";"11.46";"37312";"19.5%";"49.9%"
"Generous Ent";"G";"C";"299919";"5.28";"45437";"7.43";"193102";"70.5%";"53.9%"
"Gift of Strands";"G";"U";"119999";"6.27";"12650";"9.56";"18199";"24.2%";"51.1%"
"Glorfindel, Dauntless Rescuer";"G";"U";"105270";"5.32";"10950";"7.99";"24049";"37.7%";"49.7%"
"Last March of the Ents";"G";"M";"14755";"4.09";"1895";"6.12";"2069";"18.3%";"47.3%"
"Legolas, Master Archer";"G";"R";"17867";"2.59";"4572";"2.89";"20220";"75.7%";"51.9%"
"Long List of the Ents";"G";"U";"131126";"7.31";"13821";"11.09";"6010";"7.2%";"48.2%"
"Lothlórien Lookout";"G";"C";"337833";"6.89";"34098";"10.15";"83399";"41.4%";"51.0%"
"Many Partings";"G";"C";"337733";"6.57";"44771";"9.16";"145386";"54.3%";"53.7%"
"Meriadoc Brandybuck";"G";"U";"92873";"4.45";"14410";"6.10";"58818";"68.5%";"53.5%"
"Mirkwood Spider";"G";"C";"337391";"6.55";"34757";"9.74";"104306";"50.0%";"53.4%"
"Mirrormere Guardian";"G";"C";"350374";"6.96";"41615";"9.96";"120216";"48.0%";"54.0%"
"Mushroom Watchdogs";"G";"C";"339059";"6.80";"38103";"9.78";"100352";"44.2%";"52.9%"
"Peregrin Took";"G";"U";"87592";"4.22";"12964";"5.78";"49518";"65.0%";"51.9%"
"Pippin's Bravery";"G";"C";"375280";"8.59";"39100";"12.36";"25897";"11.0%";"51.6%"
"Quickbeam, Upstart Ent";"G";"U";"86080";"4.12";"14813";"5.47";"63226";"71.9%";"53.1%"
"Radagast the Brown";"G";"M";"6689";"1.95";"3140";"1.92";"14798";"77.6%";"56.0%"
"Revive the Shire";"G";"C";"371859";"8.28";"39638";"11.99";"36432";"15.3%";"51.3%"
"The Ring Goes South";"G";"R";"41189";"5.55";"4939";"8.82";"1169";"3.9%";"40.2%"
"Shortcut to Mushrooms";"G";"U";"115610";"6.10";"11500";"9.39";"16011";"23.9%";"48.0%"
"Shower of Arrows";"G";"C";"373708";"8.65";"33681";"12.85";"8839";"4.4%";"47.5%"
"Stew the Coneys";"G";"U";"84619";"3.94";"14187";"5.25";"66371";"78.7%";"53.4%"
"Wose Pathfinder";"G";"C";"272909";"4.80";"43080";"6.46";"198352";"77.0%";"53.8%"
"Aragorn, Company Leader";"WG";"R";"16385";"2.42";"5492";"2.52";"23570";"73.1%";"52.0%"
"Aragorn, the Uniter";"WURG";"M";"8860";"2.60";"2775";"2.70";"9525";"58.8%";"50.5%"
"Arwen, Mortal Queen";"WG";"M";"6230";"1.88";"3221";"1.82";"15950";"79.3%";"57.6%"
"Arwen Undómiel";"UG";"U";"92412";"4.88";"12987";"6.70";"37429";"48.9%";"51.8%"
"The Balrog, Durin's Bane";"BR";"R";"14945";"2.19";"6510";"2.26";"32132";"81.3%";"55.0%"
"Bilbo, Retired Burglar";"UR";"U";"70475";"3.63";"25477";"3.91";"121933";"77.5%";"56.6%"
"Butterbur, Bree Innkeeper";"WG";"U";"100708";"5.01";"13116";"7.24";"38207";"49.8%";"51.2%"
"Denethor, Ruling Steward";"WB";"U";"68440";"3.35";"20019";"3.92";"92231";"75.1%";"55.9%"
"Doors of Durin";"RG";"R";"24623";"3.63";"5360";"4.41";"17263";"53.8%";"52.6%"
"Elrond, Master of Healing";"UG";"R";"21024";"3.26";"4868";"3.70";"15653";"55.4%";"50.1%"
"Éowyn, Fearless Knight";"WR";"R";"14860";"2.26";"7336";"2.24";"36298";"80.0%";"56.9%"
"Faramir, Prince of Ithilien";"WU";"R";"12115";"1.90";"7972";"1.79";"42726";"86.2%";"56.8%"
"Flame of Anor";"UR";"R";"20750";"3.00";"8093";"3.20";"36939";"74.4%";"55.8%"
"Friendly Rivalry";"RG";"U";"120677";"6.21";"15750";"9.02";"29997";"31.7%";"52.3%"
"Frodo Baggins";"WG";"U";"76580";"3.81";"17399";"4.54";"72861";"69.2%";"55.0%"
"Galadriel of Lothlórien";"UG";"R";"22155";"3.30";"5048";"3.83";"17545";"59.8%";"51.0%"
"Gandalf the Grey";"UR";"R";"16148";"2.42";"6781";"2.49";"31034";"77.6%";"52.8%"
"Gandalf's Sanction";"UR";"U";"83048";"4.15";"27680";"4.63";"134116";"78.5%";"56.7%"
"Gimli, Mournful Avenger";"RG";"R";"33277";"4.59";"4795";"6.85";"8137";"28.2%";"49.8%"
"Gwaihir the Windlord";"WU";"U";"116936";"5.95";"14507";"8.89";"23223";"27.2%";"49.5%"
"King of the Oathbreakers";"WB";"R";"14753";"2.19";"6590";"2.19";"30339";"77.4%";"53.8%"
"Legolas, Counter of Kills";"UG";"U";"112582";"5.93";"11688";"9.23";"15116";"22.2%";"46.9%"
"Lotho, Corrupt Shirriff";"WB";"R";"31542";"4.18";"5529";"5.77";"16189";"48.6%";"53.2%"
"Mauhúr, Uruk-hai Captain";"BR";"U";"71927";"3.53";"19964";"4.17";"97157";"77.7%";"58.0%"
"Merry, Esquire of Rohan";"WR";"R";"26132";"3.67";"5576";"4.62";"19836";"58.5%";"55.6%"
"The Mouth of Sauron";"UB";"U";"72209";"3.45";"24382";"4.01";"113455";"75.5%";"56.0%"
"Old Man Willow";"BG";"U";"75256";"3.65";"19318";"4.46";"81724";"69.3%";"55.0%"
"Pippin, Guard of the Citadel";"WU";"R";"20949";"3.13";"6541";"3.40";"23097";"58.8%";"53.8%"
"Prince Imrahil the Fair";"WU";"U";"96165";"4.81";"17463";"6.37";"51371";"49.8%";"52.6%"
"Ringsight";"UB";"U";"131558";"6.83";"18692";"9.86";"19960";"17.6%";"53.0%"
"Rise of the Witch-king";"BG";"U";"98482";"4.79";"17365";"6.54";"54822";"52.3%";"53.7%"
"Samwise Gamgee";"WG";"R";"20268";"2.93";"5295";"3.30";"22410";"70.1%";"54.0%"
"Saruman of Many Colors";"WUB";"M";"8397";"2.46";"2669";"2.60";"9103";"59.2%";"49.2%"
"Sauron, the Dark Lord";"UBR";"M";"4983";"1.49";"3580";"1.43";"19316";"88.1%";"55.2%"
"Sauron's Ransom";"UB";"R";"27634";"3.72";"7884";"4.38";"29990";"62.4%";"56.2%"
"Shadow Summoning";"WB";"U";"89179";"4.31";"22906";"5.16";"91105";"64.0%";"57.2%"
"Shadowfax, Lord of Horses";"WR";"U";"91833";"4.47";"18125";"5.88";"64316";"58.5%";"55.3%"
"Shagrat, Loot Bearer";"BR";"R";"33199";"4.49";"4819";"6.62";"8708";"29.4%";"55.0%"
"Sharkey, Tyrant of the Shire";"UB";"R";"45272";"5.93";"5990";"9.14";"441";"1.2%";""
"Shelob, Child of Ungoliant";"BG";"R";"13553";"2.04";"6345";"2.06";"30497";"80.4%";"53.2%"
"Sméagol, Helpful Guide";"BG";"R";"16491";"2.42";"5798";"2.54";"24877";"72.5%";"52.8%"
"Strider, Ranger of the North";"RG";"U";"110455";"5.52";"14767";"8.09";"32925";"37.2%";"52.4%"
"Théoden, King of Rohan";"WR";"U";"80939";"4.06";"18536";"4.90";"77168";"67.5%";"56.1%"
"Tom Bombadil";"WUBRG";"M";"19671";"5.00";"2778";"7.59";"197";"1.2%";""
"Uglúk of the White Hand";"BR";"U";"92750";"4.53";"13582";"6.46";"50123";"60.2%";"55.1%"
"Andúril, Flame of the West";"";"M";"3732";"1.06";"3667";"1.06";"23942";"99.6%";"60.7%"
"Barrow-Blade";"";"U";"129337";"6.51";"13498";"10.00";"14916";"18.2%";"53.3%"
"Ent-Draught Basin";"";"U";"137053";"7.51";"13678";"11.41";"3541";"4.3%";"49.4%"
"Glamdring";"";"M";"8018";"2.34";"2229";"2.55";"9343";"71.2%";"52.6%"
"Horn of Gondor";"";"R";"8491";"1.25";"7599";"1.23";"47888";"97.1%";"60.1%"
"Horn of the Mark";"";"R";"22391";"3.26";"3671";"4.06";"11558";"53.3%";"51.6%"
"Inherited Envelope";"";"C";"350780";"6.49";"45164";"9.58";"95762";"35.2%";"52.1%"
"Lembas";"";"C";"357868";"6.73";"46369";"9.89";"84826";"30.3%";"53.6%"
"Mirror of Galadriel";"";"U";"130347";"6.69";"13434";"10.32";"11299";"14.0%";"49.1%"
"Mithril Coat";"";"R";"18477";"2.64";"3238";"3.11";"12220";"66.4%";"49.3%"
